Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 6690-1338	: 0.719596
ID 8804-1760	: 0.709349
ID 1476-295	: 0.702372
ID 1405-281	: 0.700021
ID 6757-1351	: 0.694518
ID 1882-376	: 0.694042
ID 1688-337	: 0.692374
ID 6644-1328	: 0.689748
ID 5322-1064	: 0.689574
ID 2975-595	: 0.688586
ID 7311-1462	: 0.688348
ID 7486-1497	: 0.687454
ID 8828-1765	: 0.686189
ID 1582-316	: 0.683773
ID 8469-1693	: 0.680658
ID 1626-325	: 0.680127
ID 2006-401	: 0.672201
ID 3251-650	: 0.671132
ID 1706-341	: 0.671019
ID 7454-1490	: 0.670961
ID 986-197	: 0.670831
ID 6226-1245	: 0.670795
ID 5346-1069	: 0.670664
ID 2063-412	: 0.668176
ID 7791-1558	: 0.66723
ID 584-116	: 0.667051
ID 8000-1600	: 0.665691
ID 9638-1927	: 0.665301
ID 403-80	: 0.665057
ID 4262-852	: 0.664528
ID 954-190	: 0.663653
ID 1705-341	: 0.661964
ID 445-89	: 0.660493
ID 9895-1979	: 0.659152
ID 1108-221	: 0.658136
ID 7045-1409	: 0.657354
ID 1648-329	: 0.657223
ID 8102-1620	: 0.65692
ID 1865-373	: 0.655917
ID 3464-692	: 0.654659
ID 7538-1507	: 0.654151
ID 9597-1919	: 0.65391
ID 8530-1706	: 0.653599
ID 3859-771	: 0.653481
ID 2668-533	: 0.653409
ID 1744-348	: 0.652427
ID 6808-1361	: 0.651694
ID 8253-1650	: 0.650719
ID 645-129	: 0.650496
ID 1412-282	: 0.650311
ID 9376-1875	: 0.650085
ID 2892-578	: 0.649216
ID 2450-490	: 0.647457
ID 6535-1307	: 0.646639
ID 1748-349	: 0.646328
ID 3841-768	: 0.646194
ID 5538-1107	: 0.646029
ID 5810-1162	: 0.645993
ID 5582-1116	: 0.645734
ID 1593-318	: 0.645646
ID 710-142	: 0.645642
ID 8660-1732	: 0.645197
ID 8291-1658	: 0.644837
ID 2876-575	: 0.644273
ID 6948-1389	: 0.643601
ID 280-56	: 0.642442
ID 8256-1651	: 0.642042
ID 7473-1494	: 0.642041
ID 1472-294	: 0.641352
ID 1670-334	: 0.64033
ID 849-169	: 0.640319
ID 3805-761	: 0.640212
ID 6282-1256	: 0.639256
ID 8017-1603	: 0.638234
ID 3128-625	: 0.638112
ID 2485-497	: 0.63794
ID 8509-1701	: 0.637439
ID 9135-1827	: 0.636953
ID 4218-843	: 0.636508
ID 3046-609	: 0.636483
ID 5563-1112	: 0.63639
ID 8341-1668	: 0.636363
ID 7027-1405	: 0.636314
ID 8723-1744	: 0.635684
ID 5776-1155	: 0.635578
ID 3690-738	: 0.634982
ID 3245-649	: 0.634485
ID 6185-1237	: 0.634391
ID 7020-1404	: 0.634271
ID 9289-1857	: 0.634149
ID 8695-1739	: 0.633678
ID 4626-925	: 0.632922
ID 3246-649	: 0.632892
ID 1546-309	: 0.63279
ID 4830-966	: 0.632605
ID 2965-593	: 0.632122
ID 5913-1182	: 0.631751
ID 2119-423	: 0.631196
ID 9782-1956	: 0.630913
ID 5658-1131	: 0.630692
ID 6563-1312	: 0.630325
ID 323-64	: 0.629738
ID 2736-547	: 0.629673
ID 417-83	: 0.629474
ID 5389-1077	: 0.629379
ID 1588-317	: 0.629309
ID 5823-1164	: 0.629077
ID 656-131	: 0.628946
ID 6524-1304	: 0.628581
ID 698-139	: 0.628575
ID 2164-432	: 0.628458
ID 4872-974	: 0.628364
ID 9551-1910	: 0.627388
