Successful opening input_fpa
Successful opening fake1kdba
ID 986-197	: 0.670831
ID 584-116	: 0.667051
ID 403-80	: 0.665057
ID 954-190	: 0.663653
ID 445-89	: 0.660493
ID 645-129	: 0.650496
ID 710-142	: 0.645641
ID 280-56	: 0.642442
ID 849-169	: 0.640319
ID 323-64	: 0.629738
ID 417-83	: 0.629474
ID 656-131	: 0.628946
ID 698-139	: 0.628575
ID 884-176	: 0.621617
ID 932-186	: 0.618231
ID 63-12	: 0.617799
ID 448-89	: 0.617712
ID 762-152	: 0.616498
ID 727-145	: 0.616398
ID 736-147	: 0.61183
ID 872-174	: 0.609276
ID 351-70	: 0.609129
ID 751-150	: 0.604538
ID 217-43	: 0.60365
ID 11-2	: 0.602544
ID 341-68	: 0.601117
ID 550-110	: 0.600426
ID 362-72	: 0.600024
ID 410-82	: 0.600023
ID 906-181	: 0.598757
ID 570-114	: 0.59503
ID 854-170	: 0.593159
ID 457-91	: 0.588991
ID 183-36	: 0.588701
ID 393-78	: 0.585857
ID 517-103	: 0.583876
ID 683-136	: 0.582881
ID 613-122	: 0.582791
ID 831-166	: 0.582685
ID 624-124	: 0.578959
ID 791-158	: 0.578398
ID 382-76	: 0.578076
ID 297-59	: 0.574942
ID 339-67	: 0.574138
ID 668-133	: 0.571113
ID 121-24	: 0.571109
ID 596-119	: 0.569845
ID 188-37	: 0.56944
ID 578-115	: 0.567936
ID 722-144	: 0.56789
ID 715-143	: 0.566725
ID 936-187	: 0.562515
ID 251-50	: 0.559913
ID 103-20	: 0.559086
ID 760-152	: 0.558451
ID 782-156	: 0.558431
ID 523-104	: 0.556989
ID 360-72	: 0.555918
ID 971-194	: 0.55189
ID 732-146	: 0.55119
ID 943-188	: 0.55099
ID 238-47	: 0.549963
ID 777-155	: 0.548261
ID 704-140	: 0.547366
ID 16-3	: 0.546898
ID 603-120	: 0.546105
ID 176-35	: 0.54599
ID 1-0	: 0.545616
ID 860-172	: 0.544428
ID 245-49	: 0.543104
ID 116-23	: 0.542089
ID 481-96	: 0.541259
ID 608-121	: 0.538177
ID 559-111	: 0.538028
ID 588-117	: 0.537732
ID 39-7	: 0.537226
ID 805-161	: 0.536369
ID 349-69	: 0.53467
ID 480-96	: 0.534463
ID 978-195	: 0.534049
ID 313-62	: 0.531635
ID 800-160	: 0.530551
ID 267-53	: 0.529226
ID 999-199	: 0.528702
ID 374-74	: 0.527233
ID 512-102	: 0.52677
ID 327-65	: 0.526221
ID 626-125	: 0.524729
ID 98-19	: 0.524719
ID 640-128	: 0.524636
ID 49-9	: 0.524233
ID 492-98	: 0.520624
ID 717-143	: 0.520307
ID 632-126	: 0.519601
ID 959-191	: 0.519479
ID 295-59	: 0.519323
ID 147-29	: 0.518583
ID 928-185	: 0.518115
ID 53-10	: 0.517244
ID 534-106	: 0.515627
ID 427-85	: 0.515445
ID 918-183	: 0.512693
ID 66-13	: 0.510163
